id,name,room_type,floor,hotel_id
101,room-101,double,2,2
102,room-102,single,3,3
103,room-103,double,4,4
104,room-104,double,5,5
105,room-105,single,6,6
106,room-106,double,7,7
107,room-107,double,8,8
108,room-108,single,9,9
109,room-109,double,10,10
110,room-110,double,1,11
111,room-111,single,2,12
112,room-112,double,3,13
113,room-113,double,4,14
114,room-114,single,5,15
115,room-115,double,6,16
116,room-116,double,7,17
117,room-117,single,8,18
118,room-118,double,9,19
119,room-119,double,10,20
120,room-120,single,1,21
121,room-121,double,2,22
122,room-122,double,3,23
123,room-123,single,4,24
124,room-124,double,5,25
125,room-125,double,6,26
126,room-126,single,7,27
127,room-127,double,8,28
128,room-128,double,9,29
129,room-129,single,10,30
130,room-130,double,1,31
131,room-131,double,2,32
132,room-132,single,3,33
133,room-133,double,4,34
134,room-134,double,5,35
135,room-135,single,6,36
136,room-136,double,7,37
137,room-137,double,8,38
138,room-138,single,9,39
139,room-139,double,10,40
140,room-140,double,1,41
141,room-141,single,2,42
142,room-142,double,3,43
143,room-143,double,4,44
144,room-144,single,5,45
145,room-145,double,6,46
146,room-146,double,7,47
147,room-147,single,8,48
148,room-148,double,9,49
149,room-149,double,10,50
150,room-150,single,1,1
151,room-151,double,2,2
152,room-152,double,3,3
153,room-153,single,4,4
154,room-154,double,5,5
155,room-155,double,6,6
156,room-156,single,7,7
157,room-157,double,8,8
158,room-158,double,9,9
159,room-159,single,10,10
160,room-160,double,1,11
161,room-161,double,2,12
162,room-162,single,3,13
163,room-163,double,4,14
164,room-164,double,5,15
165,room-165,single,6,16
166,room-166,double,7,17
167,room-167,double,8,18
168,room-168,single,9,19
169,room-169,double,10,20
170,room-170,double,1,21
171,room-171,single,2,22
172,room-172,double,3,23
173,room-173,double,4,24
174,room-174,single,5,25
175,room-175,double,6,26
176,room-176,double,7,27
177,room-177,single,8,28
178,room-178,double,9,29
179,room-179,double,10,30
180,room-180,single,1,31
181,room-181,double,2,32
182,room-182,double,3,33
183,room-183,single,4,34
184,room-184,double,5,35
185,room-185,double,6,36
186,room-186,single,7,37
187,room-187,double,8,38
188,room-188,double,9,39
189,room-189,single,10,40
190,room-190,double,1,41
191,room-191,double,2,42
192,room-192,single,3,43
193,room-193,double,4,44
194,room-194,double,5,45
195,room-195,single,6,46
196,room-196,double,7,47
197,room-197,double,8,48
198,room-198,single,9,49
199,room-199,double,10,50
200,room-200,double,1,1
201,room-201,single,2,2
202,room-202,double,3,3
203,room-203,double,4,4
204,room-204,single,5,5
205,room-205,double,6,6
206,room-206,double,7,7
207,room-207,single,8,8
208,room-208,double,9,9
209,room-209,double,10,10
210,room-210,single,1,11
211,room-211,double,2,12
212,room-212,double,3,13
213,room-213,single,4,14
214,room-214,double,5,15
215,room-215,double,6,16
216,room-216,single,7,17
217,room-217,double,8,18
218,room-218,double,9,19
219,room-219,single,10,20
220,room-220,double,1,21
221,room-221,double,2,22
222,room-222,single,3,23
223,room-223,double,4,24
224,room-224,double,5,25
225,room-225,single,6,26
226,room-226,double,7,27
227,room-227,double,8,28
228,room-228,single,9,29
229,room-229,double,10,30
230,room-230,double,1,31
231,room-231,single,2,32
232,room-232,double,3,33
233,room-233,double,4,34
234,room-234,single,5,35
235,room-235,double,6,36
236,room-236,double,7,37
237,room-237,single,8,38
238,room-238,double,9,39
239,room-239,double,10,40
240,room-240,single,1,41
241,room-241,double,2,42
242,room-242,double,3,43
243,room-243,single,4,44
244,room-244,double,5,45
245,room-245,double,6,46
246,room-246,single,7,47
247,room-247,double,8,48
248,room-248,double,9,49
249,room-249,single,10,50
250,room-250,double,1,1
251,room-251,double,2,2
252,room-252,single,3,3
253,room-253,double,4,4
254,room-254,double,5,5
255,room-255,single,6,6
256,room-256,double,7,7
257,room-257,double,8,8
258,room-258,single,9,9
259,room-259,double,10,10
260,room-260,double,1,11
261,room-261,single,2,12
262,room-262,double,3,13
263,room-263,double,4,14
264,room-264,single,5,15
265,room-265,double,6,16
266,room-266,double,7,17
267,room-267,single,8,18
268,room-268,double,9,19
269,room-269,double,10,20
270,room-270,single,1,21
271,room-271,double,2,22
272,room-272,double,3,23
273,room-273,single,4,24
274,room-274,double,5,25
275,room-275,double,6,26
276,room-276,single,7,27
277,room-277,double,8,28
278,room-278,double,9,29
279,room-279,single,10,30
280,room-280,double,1,31
281,room-281,double,2,32
282,room-282,single,3,33
283,room-283,double,4,34
284,room-284,double,5,35
285,room-285,single,6,36
286,room-286,double,7,37
287,room-287,double,8,38
288,room-288,single,9,39
289,room-289,double,10,40
290,room-290,double,1,41
291,room-291,single,2,42
292,room-292,double,3,43
293,room-293,double,4,44
294,room-294,single,5,45
295,room-295,double,6,46
296,room-296,double,7,47
297,room-297,single,8,48
298,room-298,double,9,49
299,room-299,double,10,50
300,room-300,single,1,1
301,room-301,double,2,2
302,room-302,double,3,3
303,room-303,single,4,4
304,room-304,double,5,5
305,room-305,double,6,6
306,room-306,single,7,7
307,room-307,double,8,8
308,room-308,double,9,9
309,room-309,single,10,10
310,room-310,double,1,11
311,room-311,double,2,12
312,room-312,single,3,13
313,room-313,double,4,14
314,room-314,double,5,15
315,room-315,single,6,16
316,room-316,double,7,17
317,room-317,double,8,18
318,room-318,single,9,19
319,room-319,double,10,20
320,room-320,double,1,21
321,room-321,single,2,22
322,room-322,double,3,23
323,room-323,double,4,24
324,room-324,single,5,25
325,room-325,double,6,26
326,room-326,double,7,27
327,room-327,single,8,28
328,room-328,double,9,29
329,room-329,double,10,30
330,room-330,single,1,31
331,room-331,double,2,32
332,room-332,double,3,33
333,room-333,single,4,34
334,room-334,double,5,35
335,room-335,double,6,36
336,room-336,single,7,37
337,room-337,double,8,38
338,room-338,double,9,39
339,room-339,single,10,40
340,room-340,double,1,41
341,room-341,double,2,42
342,room-342,single,3,43
343,room-343,double,4,44
344,room-344,double,5,45
345,room-345,single,6,46
346,room-346,double,7,47
347,room-347,double,8,48
348,room-348,single,9,49
349,room-349,double,10,50
350,room-350,double,1,1
351,room-351,single,2,2
352,room-352,double,3,3
353,room-353,double,4,4
354,room-354,single,5,5
355,room-355,double,6,6
356,room-356,double,7,7
357,room-357,single,8,8
358,room-358,double,9,9
359,room-359,double,10,10
360,room-360,single,1,11
361,room-361,double,2,12
362,room-362,double,3,13
363,room-363,single,4,14
364,room-364,double,5,15
365,room-365,double,6,16
366,room-366,single,7,17
367,room-367,double,8,18
368,room-368,double,9,19
369,room-369,single,10,20
370,room-370,double,1,21
371,room-371,double,2,22
372,room-372,single,3,23
373,room-373,double,4,24
374,room-374,double,5,25
375,room-375,single,6,26
376,room-376,double,7,27
377,room-377,double,8,28
378,room-378,single,9,29
379,room-379,double,10,30
380,room-380,double,1,31
381,room-381,single,2,32
382,room-382,double,3,33
383,room-383,double,4,34
384,room-384,single,5,35
385,room-385,double,6,36
386,room-386,double,7,37
387,room-387,single,8,38
388,room-388,double,9,39
389,room-389,double,10,40
390,room-390,single,1,41
391,room-391,double,2,42
392,room-392,double,3,43
393,room-393,single,4,44
394,room-394,double,5,45
395,room-395,double,6,46
396,room-396,single,7,47
397,room-397,double,8,48
398,room-398,double,9,49
399,room-399,single,10,50
400,room-400,double,1,1
401,room-401,double,2,2
402,room-402,single,3,3
403,room-403,double,4,4
404,room-404,double,5,5
405,room-405,single,6,6
406,room-406,double,7,7
407,room-407,double,8,8
408,room-408,single,9,9
409,room-409,double,10,10
410,room-410,double,1,11
411,room-411,single,2,12
412,room-412,double,3,13
413,room-413,double,4,14
414,room-414,single,5,15
415,room-415,double,6,16
416,room-416,double,7,17
417,room-417,single,8,18
418,room-418,double,9,19
419,room-419,double,10,20
420,room-420,single,1,21
421,room-421,double,2,22
422,room-422,double,3,23
423,room-423,single,4,24
424,room-424,double,5,25
425,room-425,double,6,26
426,room-426,single,7,27
427,room-427,double,8,28
428,room-428,double,9,29
429,room-429,single,10,30
430,room-430,double,1,31
431,room-431,double,2,32
432,room-432,single,3,33
433,room-433,double,4,34
434,room-434,double,5,35
435,room-435,single,6,36
436,room-436,double,7,37
437,room-437,double,8,38
438,room-438,single,9,39
439,room-439,double,10,40
440,room-440,double,1,41
441,room-441,single,2,42
442,room-442,double,3,43
443,room-443,double,4,44
444,room-444,single,5,45
445,room-445,double,6,46
446,room-446,double,7,47
447,room-447,single,8,48
448,room-448,double,9,49
449,room-449,double,10,50
450,room-450,single,1,1
451,room-451,double,2,2
452,room-452,double,3,3
453,room-453,single,4,4
454,room-454,double,5,5
455,room-455,double,6,6
456,room-456,single,7,7
457,room-457,double,8,8
458,room-458,double,9,9
459,room-459,single,10,10
460,room-460,double,1,11
461,room-461,double,2,12
462,room-462,single,3,13
463,room-463,double,4,14
464,room-464,double,5,15
465,room-465,single,6,16
466,room-466,double,7,17
467,room-467,double,8,18
468,room-468,single,9,19
469,room-469,double,10,20
470,room-470,double,1,21
471,room-471,single,2,22
472,room-472,double,3,23
473,room-473,double,4,24
474,room-474,single,5,25
475,room-475,double,6,26
476,room-476,double,7,27
477,room-477,single,8,28
478,room-478,double,9,29
479,room-479,double,10,30
480,room-480,single,1,31
481,room-481,double,2,32
482,room-482,double,3,33
483,room-483,single,4,34
484,room-484,double,5,35
485,room-485,double,6,36
486,room-486,single,7,37
487,room-487,double,8,38
488,room-488,double,9,39
489,room-489,single,10,40
490,room-490,double,1,41
491,room-491,double,2,42
492,room-492,single,3,43
493,room-493,double,4,44
494,room-494,double,5,45
495,room-495,single,6,46
496,room-496,double,7,47
497,room-497,double,8,48
498,room-498,single,9,49
499,room-499,double,10,50
500,room-500,double,1,1
